gene_symbol,baseMean,log2FoldChange,padj
gene_0,3.56295004142591,-8.603611114762,6.053958896596009e-11
gene_1,5.77969894403042,-4.12417532129173,1.38964155864574e-09
gene_2,1.28214314739647,-7.38698638678659,2.4327997901934703e-09
gene_3,4.27862903538987,-4.17781242057656,2.4327997901934703e-09
gene_4,4.4409137064501,-4.3143199499725,4.7411287536098705e-09
gene_5,0.73590465313728,-5.36266382024579,5.57418787694935e-09
gene_6,2.69581147606106,-3.20311813582619,6.828836457927811e-09
gene_7,6.45520453127796,-2.86330403668687,1.30358192844068e-08
gene_8,6.10703318183881,5.44304402150002,2.36474559807046e-08
gene_9,1.8210142363816,-3.29562117486522,2.36474559807046e-08
gene_10,1.1766693422008,-6.26498283726091,2.43702085851589e-08
gene_11,3.37495746923154,-4.8406546880817,3.63193252743038e-08
gene_12,4.72310683626999,-2.67698332922956,3.98506308638914e-08
gene_13,5.91597724171743,-2.84727572885845,3.98506308638914e-08
gene_14,6.38702826605124,3.60983076803323,3.99479823506706e-08
gene_15,5.03260363470439,-3.18153639456605,3.99479823506706e-08
gene_16,6.09575392527724,-3.01819177566823,5.08770618999652e-08
gene_17,3.4057103465125,-6.57542626176055,6.5213869865854e-08
gene_18,2.74878975970563,4.36202146098309,6.79399816829594e-08
gene_19,9.11095382270532,-3.2965771952056,7.23435458613773e-08
gene_20,3.32369566578069,-3.53255389793532,7.42203044585194e-08
gene_21,3.22306911995923,-2.41754256569597,8.29437062848067e-08
gene_22,2.89934072975042,-2.67933511355138,8.92338217443835e-08
gene_23,2.49144504954335,-3.30963763416873,8.94088287632388e-08
gene_24,3.01334054334204,-2.36670331390876,9.21056351570098e-08
gene_25,4.25732713093757,-2.60370108406379,9.21056351570098e-08
gene_26,5.24405933927924,-3.41732931323235,9.77733651513065e-08
gene_27,3.57030728415102,-4.15827108171339,1.07130041889876e-07
gene_28,5.53235616042689,-2.54655643603922,1.07130041889876e-07
gene_29,6.69241038295081,-2.0355277664516,1.28660958782882e-07
gene_30,2.21764250126877,-3.49148878086375,1.44336520609932e-07
gene_31,4.18726791262169,3.72849332250629,1.44336520609932e-07
gene_32,4.6347866747021,-3.53674447548371,1.44336520609932e-07
gene_33,4.11490301706637,-2.54843476810072,1.44336520609932e-07
gene_34,4.43487664288647,-2.49264588893874,1.44336520609932e-07
gene_35,5.91832665330101,-1.90296744099938,1.57047404236428e-07
gene_36,1.150414785862,-3.90707489906549,2.03365405802436e-07
gene_37,3.93549440965347,-2.55635552471991,2.03365405802436e-07
gene_38,-1.26680397120278,-6.0044435982195,2.03365405802436e-07
gene_39,4.95609095954927,-2.26258446867304,2.03365405802436e-07
gene_40,5.36552934891357,-4.13647897001852,2.10341830569305e-07
gene_41,1.61894560367942,-2.82165537535613,2.13268562975528e-07
gene_42,1.74528365582872,-2.88200610416932,2.24118847365493e-07
gene_43,6.03007120622634,-2.46770269337112,2.24118847365493e-07
gene_44,3.67428481003522,-2.57885897103137,2.26150860143128e-07
gene_45,6.95392101293457,-2.45178592214844,2.28366440195135e-07
gene_46,5.66746156900829,3.51555235008981,2.34897360194263e-07
gene_47,-1.12615372755152,-4.88469219058254,2.52297347932817e-07
gene_48,6.16878093341511,-1.88881149016593,2.61585069360547e-07
gene_49,0.29720953477709,-4.49201380657066,2.61585069360547e-07
gene_50,6.51251643138902,3.36967056396692,2.73231064454493e-07
gene_51,4.71777694236282,-2.59202355394967,2.82755806996309e-07
gene_52,5.85501664000946,-2.49797372304258,2.96207672266895e-07
gene_53,6.04756933360611,-2.60125475778665,3.40826633935694e-07
gene_54,2.43133929980704,-4.1391142869604,3.54747865561864e-07
gene_55,4.14978943561507,-2.32305337458102,3.54747865561864e-07
gene_56,0.036787034147515,-4.54946043121184,4.06670233889892e-07
gene_57,8.62837174633144,-2.44468060098748,4.51491811324832e-07
gene_58,6.50428770380338,-2.13152104744388,4.69596359935404e-07
gene_59,2.7553751485669,-2.68811895301949,4.69596359935404e-07
gene_60,4.59141986530547,-3.24112160349643,4.69596359935404e-07
gene_61,6.3730992538271,-3.02984828106235,4.69596359935404e-07
gene_62,5.34343198171512,-2.76831804836,4.9006132405259e-07
gene_63,2.00531549493249,-3.20593679895618,4.97681733870267e-07
gene_64,2.47731916191796,-3.07134642388412,5.58445446962764e-07
gene_65,6.30498173908797,2.23963077546311,5.89606855662004e-07
gene_66,7.46932834590839,2.39820487137678,5.89606855662004e-07
gene_67,0.296634821779353,-3.28637327177613,6.0434421878946e-07
gene_68,2.95688108028354,-2.66343330169594,6.44294034586893e-07
gene_69,4.46829455029003,-2.17529774737803,6.44294034586893e-07
gene_70,5.19198618432298,2.26132941618597,6.78491071641428e-07
gene_71,4.78887829485164,-2.17887384884379,6.91889682851823e-07
gene_72,2.93769894831995,-3.661925068978,7.60434039833768e-07
gene_73,6.81344974191694,-1.88794849983208,7.60434039833768e-07
gene_74,6.05113777873861,-2.40593524973977,7.71639331819411e-07
gene_75,3.25865052519225,2.50111670733205,8.6074343943067e-07
gene_76,3.77154197703033,-3.86126100778843,8.6074343943067e-07
gene_77,5.66405155596977,2.33655904260153,8.65071211047601e-07
gene_78,3.73096401426168,4.25145810504412,8.78241262141591e-07
gene_79,5.64920499264459,-2.08391205868043,9.08312974156627e-07
gene_80,6.11198458850106,-1.88259577172137,9.95492884353549e-07
gene_81,7.08952445930041,-2.41807204936901,9.95492884353549e-07
gene_82,5.77257336065662,-1.93633009364347,9.98888373361892e-07
gene_83,6.60100658062803,-1.82506008092219,1.01921960364747e-06
gene_84,6.71751901983883,3.08956438122621,1.05263729276529e-06
gene_85,9.42139851092173,-2.79537103703261,1.09090246051239e-06
gene_86,7.43745478838472,-1.82038956562804,1.12259628244703e-06
gene_87,4.42613014604862,-3.07972397011726,1.12260407112838e-06
gene_88,3.94839950084924,-2.85959481360584,1.14333755079727e-06
gene_89,5.53491154133267,-2.3874440232297,1.16222164116052e-06
gene_90,7.25583864424601,-3.54539630321674,1.16222164116052e-06
gene_91,3.56047655412712,-2.41046456598281,1.16735978852068e-06
gene_92,2.45844447394565,-2.54606060807464,1.16735978852068e-06
gene_93,7.19108232877073,2.1048153187518,1.19366090632133e-06
gene_94,2.63281326967626,-2.37639225980551,1.42345541783882e-06
gene_95,6.50806542608169,-2.08199717926117,1.42345541783882e-06
gene_96,4.98505719209146,-1.75429909758489,1.42345541783882e-06
gene_97,5.07109548712123,-2.26967788901384,1.42345541783882e-06
gene_98,3.77941636790888,-2.98885618629256,1.42345541783882e-06
gene_99,2.26442345430682,-3.07247925404962,1.42345541783882e-06
gene_100,4.41382326535984,-2.6537469271886,1.43675750758055e-06
gene_101,1.44867743257528,-3.20302077599739,1.45904085761002e-06
gene_102,4.67379838009472,-1.81705388973375,1.45904085761002e-06
gene_103,8.35784834825394,-2.05888411401637,1.48201543179264e-06
gene_104,1.3648336902314,-3.38468812755054,1.48201543179264e-06
gene_105,1.16205165294373,-3.1039667221124,1.48941225860333e-06
gene_106,3.0583830501088,4.68237635638058,1.48941225860333e-06
gene_107,1.82646306300375,-4.20100271337848,1.49535328386874e-06
gene_108,7.06440680829984,2.05434580738016,1.49732413009454e-06
gene_109,9.39225473415369,-2.45114819624428,1.52208905345072e-06
gene_110,1.52069693825138,-3.35394642521921,1.53885874943725e-06
gene_111,0.357892981580251,-3.41675530819001,1.53885874943725e-06
gene_112,5.04389555410433,2.7154394637085,1.56522341697669e-06
gene_113,4.01436913350148,-2.60794041645931,1.58483358828606e-06
gene_114,5.33112849504897,2.25650157447623,1.58483358828606e-06
gene_115,2.80549271368112,-4.8769567118869,1.61018341450295e-06
gene_116,5.44604621594312,-1.94400098911448,1.61094562097788e-06
gene_117,6.20869251102816,-1.94423561245288,1.63102882835777e-06
gene_118,4.55305858789702,-2.44655931900798,1.76072885237058e-06
gene_119,6.01924005565458,-2.61751295947634,1.82528570229422e-06
gene_120,5.89951619727017,2.49246722157361,1.84862379479711e-06
gene_121,-0.505048429971869,-3.8651129216798,1.90827269685165e-06
gene_122,5.77415085831075,-2.1177746629098,1.91126835932303e-06
gene_123,3.71792565509771,-2.12292724338581,1.96775391382307e-06
gene_124,2.88935728274244,-2.18645856985962,1.97298243195626e-06
gene_125,6.04367852964808,-2.37904205383233,1.97725778304181e-06
gene_126,7.88708030257995,1.97738781643363,2.01192790839945e-06
gene_127,0.718520086023077,-2.34889856751106,2.17389586949144e-06
gene_128,5.04802489934347,-1.7803387993508,2.24134290324987e-06
gene_129,2.25680331478526,-3.42068993441662,2.30823821985266e-06
gene_130,-1.32182830593739,-6.85879718184873,2.37514266011961e-06
gene_131,3.85897498066867,-2.49845236639841,2.38606132114565e-06
gene_132,6.48162215896167,-2.22774230120904,2.38606132114565e-06
gene_133,6.87522711021875,-4.62578517165392,2.45689992937908e-06
gene_134,6.22551087770772,2.24665925949215,2.52762508162725e-06
gene_135,7.98913893454519,2.2613127116405,2.53104110739367e-06
gene_136,6.25537958301418,-1.73030304598979,2.53104110739367e-06
gene_137,4.24947418849109,-1.86797159704308,2.5780062720384e-06
gene_138,1.2747568242044,-3.1318975353454,2.59490847427157e-06
gene_139,7.93654023331525,-2.1946770898375,2.62255327741791e-06
gene_140,6.5535646464144,2.34947588584714,2.62255327741791e-06
gene_141,4.00558599001693,4.82020298676485,2.62255327741791e-06
gene_142,6.49204072536867,-1.78930809817742,2.66537913357229e-06
gene_143,5.08979462116773,2.07674887118441,2.70790261624979e-06
gene_144,8.11430340012639,2.09728038375818,2.76016251438522e-06
gene_145,7.70004247459258,-1.7293902775136,2.84327180536866e-06
gene_146,3.51667790330876,-1.72283947043572,2.8560027109796e-06
gene_147,1.62914769674904,-4.82970327830453,2.89893283739178e-06
gene_148,6.43391744313275,-2.69716977871664,2.89893283739178e-06
gene_149,4.54632119192005,-1.64922053757941,2.9935342611328e-06
gene_150,0.804722329163533,-6.22251028467683,3.0073503503225e-06
gene_151,6.12307866551373,2.81666592130478,3.05411731796044e-06
gene_152,0.284279377636501,-2.60446864131957,3.05411731796044e-06
gene_153,7.48099754935901,-1.64557303816396,3.06674358395588e-06
gene_154,1.35295093107947,-3.59232727916819,3.2754092005781e-06
gene_155,4.87322601223259,-2.36900432220392,3.38613284390203e-06
gene_156,-1.0591386899052,-3.3547159799822,3.45359759477051e-06
gene_157,7.47767264313487,1.87750738016316,3.47486353692535e-06
gene_158,7.0664367388091,-1.61904477227051,3.4783434120297e-06
gene_159,5.1930661411249,2.80702732436602,3.50745107268448e-06
gene_160,5.44262486135216,-2.13860129420199,3.94009105153737e-06
gene_161,2.76381446880746,-2.2274993004144,3.94301956398541e-06
gene_162,6.32927676963397,2.24498663863253,3.94301956398541e-06
gene_163,2.0013517501714,-3.29238495522655,3.96905974713661e-06
gene_164,6.04465411691802,-4.45466124793952,4.17072996624395e-06
gene_165,4.01437829777017,2.39143429568119,4.20521369713049e-06
gene_166,6.86678327765884,-2.33590660951801,4.37310511951831e-06
gene_167,6.79938844375236,-1.87587592959568,4.38073406583858e-06
gene_168,3.21488952471487,-2.19191259329868,4.38073406583858e-06
gene_169,5.43527140212349,1.75233476298633,4.43868195086711e-06
gene_170,1.62462686798254,-4.32362725106236,4.45862030152578e-06
gene_171,-0.422933844681439,-4.85207175305648,4.58323985179685e-06
gene_172,4.91860464756929,-1.90870424060472,4.58323985179685e-06
gene_173,5.90966953322835,-2.49846327642021,4.58323985179685e-06
gene_174,7.83482242164195,6.96033296748346,4.88504916512413e-06
gene_175,7.42859135872725,1.74409372932349,5.14117195798806e-06
gene_176,4.65653304123585,-1.69957549437955,5.18394955716293e-06
